CID,eta,VoxelCount,Stem,Minkowski_D
1.12,0.789,1212,CID1.1200_eta0.789_N1212,1.8626
1.1378,0.751,832,CID1.1378_eta0.751_N832,1.9675
1.1467,0.746,926,CID1.1467_eta0.746_N926,2.0288
1.1467,0.744,1303,CID1.1467_eta0.744_N1303,1.9169
1.1556,0.704,1728,CID1.1556_eta0.704_N1728,1.9413
1.1644,0.739,1673,CID1.1644_eta0.739_N1673,1.8263
1.1733,0.741,1600,CID1.1733_eta0.741_N1600,2.094
1.1822,0.729,1309,CID1.1822_eta0.729_N1309,1.9375
1.1822,0.721,1673,CID1.1822_eta0.721_N1673,2.0229
1.1911,0.756,1350,CID1.1911_eta0.756_N1350,1.8056
1.1911,0.714,995,CID1.1911_eta0.714_N995,1.9753
1.1911,0.724,1239,CID1.1911_eta0.724_N1239,1.9197
1.1911,0.706,1107,CID1.1911_eta0.706_N1107,1.9475
1.1911,0.736,1300,CID1.1911_eta0.736_N1300,1.9237
1.2,0.696,1267,CID1.2000_eta0.696_N1267,1.8946
1.2,0.711,1999,CID1.2000_eta0.711_N1999,2.1223
1.2,0.734,831,CID1.2000_eta0.734_N831,2.0912
1.2089,0.693,2690,CID1.2089_eta0.693_N2690,2.2255
1.2178,0.701,1241,CID1.2178_eta0.701_N1241,1.818
1.2178,0.726,1901,CID1.2178_eta0.726_N1901,2.0536
1.2178,0.709,1785,CID1.2178_eta0.709_N1785,2.1457
1.2267,0.719,2388,CID1.2267_eta0.719_N2388,2.2143
1.2267,0.691,2080,CID1.2267_eta0.691_N2080,2.2743
1.2356,0.688,1888,CID1.2356_eta0.688_N1888,2.0705
1.2356,0.683,2156,CID1.2356_eta0.683_N2156,2.2671
1.2444,0.716,2664,CID1.2444_eta0.716_N2664,2.2281
1.2444,0.678,1504,CID1.2444_eta0.678_N1504,2.1119
1.2444,0.661,2606,CID1.2444_eta0.661_N2606,2.1719
1.2533,0.666,2704,CID1.2533_eta0.666_N2704,2.2308
1.2533,0.686,2602,CID1.2533_eta0.686_N2602,2.2266
1.2533,0.671,1490,CID1.2533_eta0.671_N1490,1.9633
1.2622,0.656,1980,CID1.2622_eta0.656_N1980,1.9281
1.2622,0.698,2166,CID1.2622_eta0.698_N2166,2.1524
1.2622,0.668,1989,CID1.2622_eta0.668_N1989,2.1296
1.2711,0.681,1893,CID1.2711_eta0.681_N1893,2.0918
1.28,0.663,1668,CID1.2800_eta0.663_N1668,2.2345
1.28,0.676,3084,CID1.2800_eta0.676_N3084,2.2661
1.28,0.653,1897,CID1.2800_eta0.653_N1897,2.131
1.28,0.651,1872,CID1.2800_eta0.651_N1872,2.1565
1.28,0.638,2718,CID1.2800_eta0.638_N2718,2.2304
1.2889,0.673,2644,CID1.2889_eta0.673_N2644,2.1901
