Run Number,Toughness
4,257755.9513469758
5,28650.144235807296
6,16312.817796886859
7,7917.713520206696
8,754.6407978223297
9,41008.27702929787
10,188014.8233810356
11,213952.2516953986
12,44714.33422104774
13,21076.75635641022
14,200015.45836297856
15,326386.28351784253
16,40904.14587298915
17,63908.87260470959
18,3434.4414986902916
19,128006.39666263494
20,78113.12474598474
21,26697.461286977123
22,30124.025488081767
23,165395.38870806037
24,40247.19432318428
